Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Owner,years_old,price_diff,devaluation_ratio,km_per_year,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
ritz,2014,3.35,5.59,27000,0,9,-2.2399999999999998,-0.24888888888888885,3000.0,1,0,1
sx4,2013,4.75,9.54,43000,0,10,-4.789999999999999,-0.4789999999999999,4300.0,0,0,1
ciaz,2017,7.25,9.85,6900,0,6,-2.5999999999999996,-0.4333333333333333,1150.0,1,0,1
wagon r,2011,2.85,4.15,5200,0,12,-1.3000000000000003,-0.10833333333333335,433.3333333333333,1,0,1
swift,2014,4.6,6.87,42450,0,9,-2.2700000000000005,-0.2522222222222223,4716.666666666667,0,0,1
vitara brezza,2018,9.25,9.83,2071,0,5,-0.5800000000000001,-0.11600000000000002,414.2,0,0,1
ciaz,2015,6.75,8.12,18796,0,8,-1.3699999999999992,-0.1712499999999999,2349.5,1,0,1
s cross,2015,6.5,8.61,33429,0,8,-2.1099999999999994,-0.26374999999999993,4178.625,0,0,1
ciaz,2016,8.75,8.89,20273,0,7,-0.14000000000000057,-0.02000000000000008,2896.1428571428573,0,0,1
ciaz,2015,7.45,8.92,42367,0,8,-1.4699999999999998,-0.18374999999999997,5295.875,0,0,1
alto 800,2017,2.85,3.6,2135,0,6,-0.75,-0.125,355.8333333333333,1,0,1
ciaz,2015,6.85,10.38,51000,0,8,-3.530000000000001,-0.44125000000000014,6375.0,0,0,1
ciaz,2015,7.5,9.94,15000,0,8,-2.4399999999999995,-0.30499999999999994,1875.0,1,0,0
ertiga,2015,6.1,7.71,26000,0,8,-1.6100000000000003,-0.20125000000000004,3250.0,1,0,1
dzire,2009,2.25,7.21,77427,0,14,-4.96,-0.35428571428571426,5530.5,1,0,1
ertiga,2016,7.75,10.79,43000,0,7,-3.039999999999999,-0.43428571428571416,6142.857142857143,0,0,1
ertiga,2015,7.25,10.79,41678,0,8,-3.539999999999999,-0.4424999999999999,5209.75,0,0,1
ertiga,2016,7.75,10.79,43000,0,7,-3.039999999999999,-0.43428571428571416,6142.857142857143,0,0,1
sx4,2010,2.65,7.98,41442,0,13,-5.33,-0.41000000000000003,3187.846153846154,1,0,1
alto k10,2016,2.85,3.95,25000,0,7,-1.1,-0.15714285714285717,3571.4285714285716,1,0,1
ignis,2017,4.9,5.71,2400,0,6,-0.8099999999999996,-0.13499999999999993,400.0,1,0,1
sx4,2011,4.4,8.01,50000,0,12,-3.6099999999999994,-0.3008333333333333,4166.666666666667,1,0,0
alto k10,2014,2.5,3.46,45280,0,9,-0.96,-0.10666666666666666,5031.111111111111,1,0,1
wagon r,2013,2.9,4.41,56879,0,10,-1.5100000000000002,-0.15100000000000002,5687.9,1,0,1
swift,2011,3.0,4.99,20000,0,12,-1.9900000000000002,-0.16583333333333336,1666.6666666666667,1,0,1
swift,2013,4.15,5.87,55138,0,10,-1.7199999999999998,-0.172,5513.8,1,0,1
swift,2017,6.0,6.49,16200,0,6,-0.4900000000000002,-0.0816666666666667,2700.0,1,1,1
alto k10,2010,1.95,3.95,44542,0,13,-2.0,-0.15384615384615385,3426.3076923076924,1,0,1
